olema	oo
ja	ja
seal	seal
sees	sees
see	selle
koobas	`kooppa
sees	sees
olema	on
enne	enne
vana	vanal
aeg	aal
kui	kui
meie	mede
vana+vanem	vanemad+vanemad
veel	vel
seal	seal
olema	`ol'lid
siis	siis
olema	ol'li
seal	seal
jälle	jälle
see	seda
süsi	`süs'sa
põletama	põlettud
mõis	`mõisa
härra	ärrad
laskma	lasnd
seal	seal
süsi	`süs'sa
põletama	põlettada
jah	jahh
ja	ja
metsa+vahe	metsa+vahe
koht	koht
olema	oli
siis	siis
enne	enne
enne	enne
see	see
kus	kuss
mina	minu
koht	koht
nüüd	nüid
või	või
see	see
mina	minu
elamine	elamese
koht	koht
olema	oo
ja	ja
ja	ja
siis	siss
nemad	nemad
siis	siss
tegema	teind
süsi	`süs'sa
seal	säl
sees	sees
metsa+vahe	metsa+vahed
puu	`puudest
süsi	`süs'sa
põletama	põlettedi
niuke	neoksed
kõva	kõvad
puu	puud
mets	metsest
tooma	`toodi
ja	ja
siis	siss
mõis	mõisa
tarvitus	tarvitse
jaoks	jaos
nagu	nagu
sepp	seppa
või	või
hobune	obuse
raud	`raudi
tegema	teha
ja	ja
seoke	seokst
sepp	seppa
töö	tööd
tegema	teha
et	et
see	see
jälle	`jälle
olema	`ol'li
tarvis	`tarvis
see	seda
pidama	pidid
just	just
nimelt	nimelt
tegema	tegema
sunduslik	sun'duslik
kuulma	kuule
kask	kase
ja	ja
ja	ja
saar	saare
puu	puud
pidama	pidid
ikka	ikke
hea	paremad
olema	olema
lepp	leppa
puu	puud
olema	on
seoke	seoksed
pehme	`pehmed
ja	ja
süsi	süed
lagunema	lagunevad
ruttu	`ruttu
ära	ära
aga	aga
need	neid
